"código","nome do território","Data Eleição","total de freguesias","inscritos","votantes","brancos","nulos","votos validamente expressos","André Ventura","António José Seguro"
"0808","Loulé",08-02-2026,11,61375,31272,868,496,29908,13534,16374
"0809","Monchique",08-02-2026,3,4204,2681,94,48,2539,837,1702
"0810","Olhão",08-02-2026,5,37873,20223,597,293,19333,9001,10332
"0811","Portimão",08-02-2026,3,50744,27993,802,417,26774,12094,14680
"0812","São Brás de Alportel",08-02-2026,1,9365,5261,168,94,4999,2023,2976
"0813","Silves",08-02-2026,8,31050,17506,448,282,16776,7763,9013
"0814","Tavira",08-02-2026,8,21393,12133,343,174,11616,4396,7220
"0815","Vila do Bispo",08-02-2026,4,3770,2169,56,17,2096,737,1359
"0816","Vila Real de Santo António",08-02-2026,3,16842,9108,176,107,8825,4008,4817
"0901","Aguiar da Beira",08-02-2026,10,5737,2840,87,59,2694,1052,1642
"0902","Almeida",08-02-2026,16,6162,3077,74,61,2942,1091,1851
"0903","Celorico da Beira",08-02-2026,16,6943,3526,92,61,3373,1279,2094
"0904","Figueira de Castelo Rodrigo",08-02-2026,10,5065,2563,51,59,2453,1080,1373
"0905","Fornos de Algodres",08-02-2026,12,4105,2448,67,41,2340,902,1438
"0906","Gouveia",08-02-2026,16,11759,6409,158,86,6165,1938,4227
"0907","Guarda",08-02-2026,43,36320,22386,476,546,21364,6728,14636
"0908","Manteigas",08-02-2026,4,2876,1468,34,14,1420,392,1028
"0909","Mêda",08-02-2026,11,4894,2318,44,36,2238,786,1452
"0910","Pinhel",08-02-2026,18,8466,4309,100,86,4123,1506,2617
"0911","Sabugal",08-02-2026,30,11275,5385,123,103,5159,1857,3302
"0912","Seia",08-02-2026,24,20123,11417,330,187,10900,3424,7476
"0913","Trancoso",08-02-2026,21,8350,4404,153,77,4174,1545,2629
"0914","Vila Nova de Foz Côa",08-02-2026,14,6462,3126,87,48,2991,1123,1868
"1001","Alcobaça",08-02-2026,13,48955,29462,1065,642,27755,9598,18157
"1002","Alvaiázere",08-02-2026,5,5791,2899,78,70,2751,1170,1581
"1003","Ansião",08-02-2026,6,10974,6072,190,113,5769,1813,3956
"1004","Batalha",08-02-2026,4,14031,8642,434,209,7999,3091,4908
"1005","Bombarral",08-02-2026,4,11578,6960,241,111,6608,2259,4349
"1006","Caldas da Rainha",08-02-2026,12,45194,27372,627,384,26361,7198,19163
"1007","Castanheira de Pêra",08-02-2026,1,2461,1371,28,28,1315,393,922
"1008","Figueiró dos Vinhos",08-02-2026,4,5016,2623,63,67,2493,847,1646
"1009","Leiria",08-02-2026,20,113757,63603,2918,1503,59182,18433,40749
"1010","Marinha Grande",08-02-2026,3,34141,17802,530,345,16927,5355,11572
"1011","Nazaré",08-02-2026,3,13971,6714,206,105,6403,2087,4316
"1012","Óbidos",08-02-2026,7,10879,6793,193,107,6493,2020,4473
"1013","Pedrógão Grande",08-02-2026,3,2932,1566,47,29,1490,494,996
"1014","Peniche",08-02-2026,4,24243,13413,362,176,12875,4670,8205
"1015","Pombal",08-02-2026,17,48134,23172,1131,588,21453,8054,13399
"1016","Porto de Mós",08-02-2026,10,20415,12171,545,264,11362,4449,6913
"1101","Alenquer",08-02-2026,11,37646,23061,639,372,22050,8041,14009
"1102","Arruda dos Vinhos",08-02-2026,4,12162,4885,326,190,4369,1196,3173
"1103","Azambuja",08-02-2026,7,17923,10730,294,199,10237,3928,6309
"1104","Cadaval",08-02-2026,7,12549,7420,223,105,7092,2543,4549
"1105","Cascais",08-02-2026,4,176779,105207,4564,2420,98223,29999,68224
"1106","Lisboa",08-02-2026,24,457956,285660,11275,6917,267468,61765,205703
"1107","Loures",08-02-2026,10,167868,103004,2883,1937,98184,31701,66483
"1108","Lourinhã",08-02-2026,9,24259,14865,403,325,14137,6039,8098
"1109","Mafra",08-02-2026,11,70908,46335,1811,940,43584,14559,29025
"1110","Oeiras",08-02-2026,5,145234,94588,4064,2087,88437,19275,69162
"1111","Sintra",08-02-2026,15,323436,182995,5158,3467,174370,59264,115106
"1112","Sobral de Monte Agraço",08-02-2026,3,9042,5683,212,110,5361,1892,3469
"1113","Torres Vedras",08-02-2026,15,71911,45392,1422,942,43028,15240,27788
"1114","Vila Franca de Xira",08-02-2026,6,114945,72135,2090,1253,68792,22105,46687
